image_path,class_name
cropped_objects\Gloves\train_ds1_52_JPG_jpg.rf.rFUsSANOJ4WUPMktJOgE_2.jpg,Gloves
cropped_objects\Gloves\train_ds1_59_JPG_jpg.rf.1zs8QjvsAwXzMLPrkFUs_1.jpg,Gloves
cropped_objects\Gloves\train_ds1_images-2022-07-04T013200_jpg.rf.yQYg7e3osv4EWiEP5W6J_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_images-2022-07-04T013653_jpg.rf.tj08HTnmnunh9UOqJKm5_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_images-2022-07-04T013820_jpg.rf.lQVfa8K9jmHpQs02Rn04_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_images-2022-07-04T013820_jpg.rf.Y76aRXOhAcymLh85s8tX_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_images-2022-07-04T013828_jpg.rf.ZiQvtxT6Gq4Nd748PnHT_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_images-2022-07-04T013839_jpg.rf.xCSWmun5Zt0oKMccdd9l_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_images-2022-07-04T013848_jpg.rf.akXf4sEaQguURyum9ylr_1.jpg,Gloves
cropped_objects\Gloves\train_ds1_images-2022-07-04T013907_jpg.rf.c1vz2VJvtytIuksHjpwt_1.jpg,Gloves
cropped_objects\Gloves\train_ds1_images-2022-07-04T013920_jpg.rf.51a80Kxfu6QcZkwXj2tq_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_images49_jpg.rf.p8bcBvz156hjG4ixa7Iy_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_images49_jpg.rf.ugACKhE9ip2b32l2EQuV_2.jpg,Gloves
cropped_objects\Gloves\train_ds1_image_160_jpg.rf.XCaJL0FO4biNlB9XTP74_2.jpg,Gloves
cropped_objects\Gloves\train_ds1_image_164_jpg.rf.PFHtEcdUwTY6jnm2h0yW_3.jpg,Gloves
cropped_objects\Gloves\train_ds1_image_191_jpg.rf.hI5JPETIbirYW8xn6q0m_3.jpg,Gloves
cropped_objects\Gloves\train_ds1_image_216_jpg.rf.DFj9HbGX6ohWYExm2KIs_2.jpg,Gloves
cropped_objects\Gloves\train_ds1_image_229_jpg.rf.7FQJJKdoPFfEcVv8Ll25_3.jpg,Gloves
cropped_objects\Gloves\train_ds1_image_234_jpg.rf.Q691xeXeKKlDyOxmYF7V_2.jpg,Gloves
cropped_objects\Gloves\train_ds1_IMG-20221020-WA0073_jpg.rf.ybTSpXPDC3ol3xOxTvJH_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_IMG-20221020-WA0074_jpg.rf.ILqFeIPWwOa6eludxLGJ_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_IMG-20221020-WA0074_jpg.rf.r4GgL74rpWzXfy5xabWJ_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_IMG-20221020-WA0129_jpg.rf.WRS3JoR7uNVVaAzRZAVu_0.jpg,Gloves
cropped_objects\Gloves\train_ds1_KakaoTalk_20221018_001425789_23_jpg.rf.3dhqP9adVMNibEiUT9NB_2.jpg,Gloves
cropped_objects\Gloves\train_ds1_KakaoTalk_20221018_001605157_15_jpg.rf.FJS4LmXGqjMlxDXNrzXU_2.jpg,Gloves
cropped_objects\Gloves\train_ds1_ppe_0274_jpg.rf.3i1cmOensry38umKatqx_1.jpg,Gloves
cropped_objects\Gloves\train_ds1_ppe_0307_jpg.rf.bgIVip8Ziw8pUVWn5qEO_3.jpg,Gloves
cropped_objects\Gloves\train_ds1_ppe_0374_jpg.rf.vMRHlDrHdw5KPVPt96fg_18.jpg,Gloves
cropped_objects\Gloves\train_ds1_Video3_115_jpg.rf.gipwp3MiuBL8eCbSdViJ_2.jpg,Gloves
cropped_objects\Gloves\train_ds1_Video3_14_jpg.rf.P1e8PcpmsAHnHB9MLzb2_2.jpg,Gloves
cropped_objects\Gloves\train_ds2_360_F_17642170_G7UD6P6cPCT8JXvPCaooHkfWATfhMTQT_jpg.rf.FxhW1eMpppuPjpsiOPY8_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_Artboard_1_59527ea5-9b68-4c50-9fdb-637471a23f63_jpg.rf.Aaj81e94VREB9HCV3WA2_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_Artboard_1_59527ea5-9b68-4c50-9fdb-637471a23f63_jpg.rf.Aaj81e94VREB9HCV3WA2_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_best-leather-work-gloves_jpg.rf.WGiHS3IYyolQ8ycOdZZu_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_best-leather-work-gloves_jpg.rf.WGiHS3IYyolQ8ycOdZZu_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_building-Workers-Wearing-Safety-Equipment_52_jpeg_jpg.rf.yrBw3s4NqZAS670M0yRd_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_building-Workers-Wearing-Safety-Equipment_63_jpeg_jpg.rf.h50fgHuVBoOGL46MfIsb_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_D3O-Impact-Additives-1000x641_jpg.rf.xHKYLmuQIX4OXRjrZBiX_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_ezgif-frame-028_jpg.rf.3upR1hIEyPX8Om4xBSyz_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_ezgif-frame-030_jpg.rf.5HnOce8lV8FhC4FsgexL_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_hand-of-engineering-worker-wear-gloves-holding-white-safety-helmet-plastic-equipment-prevent-danger-engineer-in-construction-isolated-on-white-backgr-W147BJ_jpg.rf.xablI5pgJqxIDp0dbOCM_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T012922_jpg.rf.n6lxt8c2x7XKCt0zdy0o_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T012922_jpg.rf.Nd3ifxsq8c8NAYm1tQoA_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T012922_jpg.rf.zfJnj48J60xr5GbChucD_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T012922_jpg.rf.zRpAX0q2FtpFdbJDHX1y_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013055-1-_jpg.rf.4Nl3H7H5wkJijb1WnJlg_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013055-1-_jpg.rf.apTRKFgHjQC1tvsXwMhs_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013055-1-_jpg.rf.N3uAvif5mwdhFiKfXzjX_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013450_jpg.rf.SwMaZlm1IAal4TrZuSxH_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013450_jpg.rf.y2qh03VWicVK8XQ5hgvt_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013450_jpg.rf.z01W0zmn7sQxIdpVO22z_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013630_jpg.rf.4EIbKGO2MOiLodXCGOd7_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013630_jpg.rf.pAuwk8qCvluIzPfIgYHJ_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013630_jpg.rf.Qz835MUddmWU6dMQVr51_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013634_jpg.rf.B6zAJkfZ1cOLSyoBVwBb_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013634_jpg.rf.IDzjfHM5lDAlHXGBZWYJ_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013634_jpg.rf.OSMlWHlnh4343F4sDMOh_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013653_jpg.rf.bZuFojG3ms24LYfn4t7p_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013653_jpg.rf.bZuFojG3ms24LYfn4t7p_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013653_jpg.rf.cWSb5vFfiofd4HDzxWC0_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013653_jpg.rf.cWSb5vFfiofd4HDzxWC0_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013653_jpg.rf.hlu3zBGSekIgBe54zhMx_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013653_jpg.rf.hlu3zBGSekIgBe54zhMx_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013805_jpg.rf.11NtCAI8jk2Mg4rAao7k_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013805_jpg.rf.eXHLSiI4YDMdDLtlZD6x_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013805_jpg.rf.y6W8mqJDmzbKUwlfMhCU_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013820_jpg.rf.5pisJUjDkhplKEsQC4nc_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013820_jpg.rf.pGIE5DnFn4X5n0MGq4Um_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013820_jpg.rf.SkC9ciLwqDXuv0vfJcUS_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013839_jpg.rf.aEXZre8V89RgroV8lxL8_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013839_jpg.rf.pwn2aksQFI14kcnA6yEm_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013839_jpg.rf.Y5K5v2GrsytRlosM95Fu_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013848_jpg.rf.BURBQgOL83GKqfpPNmFz_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013848_jpg.rf.hQ2P2Pv2EcwLo2MlCx1F_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013848_jpg.rf.V1kbmnNgubylOYoVEalF_1.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013937_jpg.rf.FFDgl7RwEaaaGQWf29uC_0.jpg,Gloves
cropped_objects\Gloves\train_ds2_images-2022-07-04T013937_jpg.rf.JNLqhjqTDNbLnIN6qLdg_0.jpg,Gloves
